CodigoCL,TIPO_SENAL,FASE,ACCION,n
CL100508,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL100509,SI-24,INVENTARIO,INVENTARIO,1
CL10567,SI-24,INVENTARIO,INVENTARIO,1
CL12468,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL14725,SI-24,PROGRAMACION,RETIRAR,1
CL18881,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL18881,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL18881,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL18921,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL20970,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL20970,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL21113,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL22523,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL22866,SI-24,IMPLEMENTACION,INSTALACION,1
CL23004,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL23004,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL23181,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL23230,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL23251,SI-24/SR-30,IMPLEMENTACION,INSTALACION,1
CL23251,SI-24/SR-30,INVENTARIO,INVENTARIO,4
CL23251,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL23511,SI-24/SR-30,INVENTARIO,INVENTARIO,5
CL23511,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL23544,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL23562,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL23562,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL23987,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL24041,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,3
CL24041,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,3
CL24789,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL31054,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL33749,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL33749,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,4
CL33913,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL33958,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL34945,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL34945,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL35161,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL35442,SI-24/SR-30,IMPLEMENTACION,INSTALACION,1
CL35442,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL35492,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL35492,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,5
CL35493,SI-24/SR-30,IMPLEMENTACION,INSTALACION,1
CL35493,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL37300,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL37300,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,3
CL37300,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,3
CL37512,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL37798,SI-24/SR-30,INVENTARIO,INVENTARIO,5
CL37798,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL37798,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL39077,SI-24,INVENTARIO,INVENTARIO,1
CL40701,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL40701,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL40702,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL40702,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL40865,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL40865,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL40865,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL40865,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL41731,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL41731,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL41964,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL41964,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL42187,SI-24/SR-30,INVENTARIO,INVENTARIO,4
CL42770,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL42778,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL42780,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL42780,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL42793,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL42793,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,3
CL42793,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL42804,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL4333,SI-24,INVENTARIO,INVENTARIO,2
CL43397,SI-24/SR-30,INVENTARIO,INVENTARIO,4
CL43397,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL4341,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL4341,SI-24 PLAQUETA,INVENTARIO,INVENTARIO,1
CL43625,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL43625,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL43626,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL43635,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL43636,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL44723,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL44861,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL44862,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL4526,SI-24,INVENTARIO,INVENTARIO,1
CL4537,SI-24,INVENTARIO,INVENTARIO,2
CL4540,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL45574,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL45631,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL46358,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL4731,SI-24,PROGRAMACION,REEMPLAZAR,1
CL48162,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL48162,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL48168,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL48175,SI-24/SR-30,INVENTARIO,INVENTARIO,4
CL48175,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,4
CL48185,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL48185,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL48191,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL48191,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL48191,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL48192,SI-24/SR-30,INVENTARIO,INVENTARIO,5
CL48194,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL48194,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL48291,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL48312,SI-24,INVENTARIO,INVENTARIO,2
CL48313,SI-24,INVENTARIO,INVENTARIO,3
CL48313,SI-24,PROGRAMACION,RETIRAR,1
CL48317,SI-24,INVENTARIO,INVENTARIO,4
CL48318,SI-24,IMPLEMENTACION,INSTALACION,1
CL48351,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL48353,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL48363,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL48364,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL48544,SI-24/SR-30,INVENTARIO,INVENTARIO,4
CL48827,SI-24,IMPLEMENTACION,INSTALACION,1
CL5159,SI-24,INVENTARIO,INVENTARIO,1
CL5214,SI-24,PROGRAMACION,MANTENIMIENTO,2
CL52154,SI-24,IMPLEMENTACION,INSTALACION,1
CL5229,SI-24,PROGRAMACION,MANTENIMIENTO,2
CL5451,SI-24,IMPLEMENTACION,INSTALACION,1
CL5451,SI-24,INVENTARIO,INVENTARIO,3
CL5465,SI-24,INVENTARIO,INVENTARIO,1
CL5465,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL54651,SI-24,INVENTARIO,INVENTARIO,1
CL54651,SI-24,PROGRAMACION,REEMPLAZAR,1
CL54747,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL54748,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL54748,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL54816,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL54860,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL54860,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL55751,SI-24/SR-30,IMPLEMENTACION,INSTALACION,1
CL55751,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL55888,SI-24/SR-30,IMPLEMENTACION,INSTALACION,2
CL55965,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL55965,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL55965,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,3
CL56012,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL56839,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL56878,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL56878,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL57011,SI-24/SR-30,IMPLEMENTACION,INSTALACION,1
CL57011,SI-24/SR-30,INVENTARIO,INVENTARIO,4
CL57011,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL57076,SI-24,PROGRAMACION,REEMPLAZAR,1
CL57342,SI-24,PROGRAMACION,REEMPLAZAR,1
CL58223,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL58295,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL58295,SI-24,PROGRAMACION,REEMPLAZAR,1
CL58844,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL6311,SI-24,INVENTARIO,INVENTARIO,2
CL63198,SI-24,IMPLEMENTACION,INSTALACION,1
CL63198,SI-24,PROGRAMACION,RETIRAR,1
CL6324,SI-24,INVENTARIO,INVENTARIO,2
CL6348,SI-24,INVENTARIO,INVENTARIO,1
CL6348,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL64435,SI-24,PROGRAMACION,REEMPLAZAR,1
CL6524,SI-24,PROGRAMACION,RETIRAR,1
CL657,SI-24,INVENTARIO,INVENTARIO,1
CL66783,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL66799,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL66799,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL66834,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL66854,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL66879,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL67799,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL67799,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,3
CL67803,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL67803,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL67849,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL67849,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL67862,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL67865,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL67865,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,3
CL67866,SI-24/SR-30,INVENTARIO,INVENTARIO,4
CL67873,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL67883,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL67894,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL68269,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL68270,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL68271,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL68271,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL68271,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL68306,SI-24,IMPLEMENTACION,INSTALACION,1
CL68306,SI-24,INVENTARIO,INVENTARIO,1
CL68306,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL68306,SI-24,PROGRAMACION,RETIRAR,1
CL68309,SI-24,IMPLEMENTACION,INSTALACION,1
CL68323,SI-24,INVENTARIO,INVENTARIO,1
CL68325,SI-24,PROGRAMACION,MANTENIMIENTO,2
CL68326,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL6835,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL68396,SI-24,INVENTARIO,INVENTARIO,1
CL68735,SI-24,PROGRAMACION,REEMPLAZAR,1
CL68768,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL68769,SI-24,PROGRAMACION,RETIRAR,1
CL68769,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL6890,SI-24,INVENTARIO,INVENTARIO,1
CL69119,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL69167,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL69167,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL69333,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL69409,SI-24,IMPLEMENTACION,INSTALACION,1
CL69568,SI-24,INVENTARIO,INVENTARIO,2
CL69628,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL69699,SI-24/SR-30,IMPLEMENTACION,INSTALACION,2
CL69753,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL69823,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL69862,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL69894,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL70200,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL70798,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL70798,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL71077,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL71077,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,4
CL71398,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL71398,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL71944,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL72216,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL72218,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL72218,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL72309,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL72323,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL72340,SI-24,IMPLEMENTACION,INSTALACION,2
CL72340,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL72340,SI-24,PROGRAMACION,REEMPLAZAR,2
CL72518,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL72559,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL72580,SI-24,INVENTARIO,INVENTARIO,1
CL72581,SI-24/SR-30,INVENTARIO,INVENTARIO,6
CL72581,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL72582,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL72744,SI-24,INVENTARIO,INVENTARIO,1
CL72756,SI-24,PROGRAMACION,RETIRAR,1
CL73121,SI-24,INVENTARIO,INVENTARIO,1
CL73142,SI-24,INVENTARIO,INVENTARIO,1
CL7335,SI-24,PROGRAMACION,REEMPLAZAR,1
CL73383,SI-24,PROGRAMACION,REEMPLAZAR,1
CL73461,SI-24,INVENTARIO,INVENTARIO,1
CL7366,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL73897,SI-24,PROGRAMACION,RETIRAR,1
CL74022,SI-24,INVENTARIO,INVENTARIO,1
CL74337,SI-24,INVENTARIO,INVENTARIO,1
CL74337,SI-24,PROGRAMACION,REEMPLAZAR,1
CL74338,SI-24,PROGRAMACION,REEMPLAZAR,1
CL74788,SI-24,INVENTARIO,INVENTARIO,2
CL74800,SI-24,PROGRAMACION,REEMPLAZAR,1
CL74849,SI-24,PROGRAMACION,RETIRAR,1
CL7492,SI-24,IMPLEMENTACION,INSTALACION,1
CL75070,SI-24,INVENTARIO,INVENTARIO,2
CL75073,SI-24,INVENTARIO,INVENTARIO,1
CL75073,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL75147,SI-24,INVENTARIO,INVENTARIO,1
CL75189,SI-24,INVENTARIO,INVENTARIO,1
CL75515,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL75515,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL75836,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL75836,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL75935,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL76175,SI-24/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL76767,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL76770,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL76779,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL76787,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL76830,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL76885,SI-24/SR-30,INVENTARIO,INVENTARIO,4
CL77000,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL77064,SI-24/SR-30,INVENTARIO,INVENTARIO,4
CL78074,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL7812,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL78208,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL78208,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL78595,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL78837,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL78837,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL79741,SI-24/SR-30,INVENTARIO,INVENTARIO,5
CL79741,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL79774,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL79774,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL8029,SI-24,INVENTARIO,INVENTARIO,1
CL8047,SI-24,IMPLEMENTACION,INSTALACION,1
CL80669,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL80669,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL80669,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL80762,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL80841,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL80878,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL80878,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL80917,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL8101,SI-24,INVENTARIO,INVENTARIO,1
CL81013,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL81060,SI-24,IMPLEMENTACION,INSTALACION,1
CL81142,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL8117,SI-24,INVENTARIO,INVENTARIO,1
CL81193,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL81193,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL81302,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL81321,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL81321,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL8157,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL8175,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL82087,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL8218,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL82270,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL82270,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL8232,SI-24/SR-30,INVENTARIO,INVENTARIO,2
CL82404,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,1
CL82450,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL82718,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL82726,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL82727,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL82732,SI-24/SR-30,INVENTARIO,INVENTARIO,5
CL82738,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL82758,SI-24,INVENTARIO,INVENTARIO,1
CL82758,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL82758,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL82947,SI-24/SR-30,INVENTARIO,INVENTARIO,1
CL8297,SI-24,PROGRAMACION,MANTENIMIENTO,2
CL8333,SI-24,PROGRAMACION,REEMPLAZAR,2
CL8335,SI-24,PROGRAMACION,RETIRAR,1
CL8374,SI-24,PROGRAMACION,MANTENIMIENTO,2
CL8506,SI-24,IMPLEMENTACION,INSTALACION,1
CL8548,SI-24,INVENTARIO,INVENTARIO,1
CL8548,SI-24,PROGRAMACION,REEMPLAZAR,1
CL88866,SI-24,IMPLEMENTACION,INSTALACION,1
CL88944,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL9495,SI-24,PROGRAMACION,REEMPLAZAR,1
CL9573,SI-24,PROGRAMACION,REEMPLAZAR,1
CL9575,SI-24,PROGRAMACION,REEMPLAZAR,2
CL9577,SI-24,PROGRAMACION,REEMPLAZAR,1
CL9611,SI-24,INVENTARIO,INVENTARIO,2
CL9612,SI-24,PROGRAMACION,REEMPLAZAR,2
CL9613,SI-24,PROGRAMACION,REEMPLAZAR,1
